FileName,ContentIndex,OriginalText,TranslatedText
Story_u1b3.xml,0,,
Story_u1c9.xml,0,,
Story_u284.xml,0,"Safety Instruction",
Story_u284.xml,1,WARNING,
Story_u284.xml,2,"Please read the instructions carefully w hich includes im portant in form ation about the installation, operation and m aintenance. Please keep this User Manual for future consultation. If you sell the fixture to another user, be sure that they also receive this instruction booklet.",
Story_u284.xml,3,"Unpack and check carefully there is no transportation damage before using the fixture.",
Story_u284.xml,4,"Before operating, ensure that the voltage and frequency of power supply match the power requirements of the fixture.",
Story_u284.xml,5,"It’s important to ground the yellow/green conductor to earth in order to avoid electric shock.",
Story_u284.xml,6,"Disconnect main power before servicing and maintenance.",
Story_u284.xml,7,"Use safety chain when fixes this fixture. Don’t handle the fixture by taking its head only, but always by taking its base.",
Story_u284.xml,8,"Maximum ambient temperature is Ta : 40°. Don’t operate it where the temperature is higher than this.",
Story_u284.xml,9,"In the event of serious operating problem, stop using the fixture immediately. Never try to repair the fixture by yourself. Repairs carried out by unskilled people can lead to damage or malfunction. Please contact the nearest authorized technical assistance center. Always use the same type spare parts.",
Story_u284.xml,10,"Do not connect the device to any dimmer pack.",
Story_u284.xml,11,"Do not touch any wire during operation and there might be a hazard of electric shock.",
Story_u284.xml,12,"To prevent or reduce the risk of electrical shock or fire, do not expose the fixture to rain or moisture.",
Story_u284.xml,13,"The housing must be replaced if they are visibly damaged.",
Story_u284.xml,14,"Do not look directly at the LED light beam while the fixture is on.",
Story_u284.xml,15,Caution,
Story_u284.xml,16,"There are no user serviceable parts inside the fixture. Do not open the housing or attempt any repairs yourself. In the unlikely situation, your unit may require service, please contact your nearest dealer.",
Story_u29a.xml,0,"General Information",
Story_u29a.xml,1,"Thank you very much for choosing our product. For safety purpose, please read this manual carefully before your operation. This manual included installation and using information. Please install and operate it according to this manual.",
Story_u29a.xml,2,Unpacking:{__TRAILSPACES__1__},
Story_u29a.xml,3,"Once receive it, please handle it carefully and check if there is some shatter because of transportation.",
Story_u29a.xml,4,Warning!,
Story_u29a.xml,5,"{__LEADSPACES__1__}To prevent or reduce the risk of electrical shock or fire, do not expose this unit to rain or moisture.",
Story_u29a.xml,6,"Technical Specifications{__TRAILSPACES__1__}",
Story_u29a.xml,7,"3/4/5/6/8/11/13 channels",
Story_u29a.xml,8,"Touch Screen OLED Display",
Story_u29a.xml,9,"Auto, Sound Active, Wireless DMX, Master/Slave, IR remote, RDM",
Story_u29a.xml,10,"Battery Capacity: 11.1V 9000mAh",
Story_u29a.xml,11,"Charging time : 6Hours",
Story_u29a.xml,12,"Run time(auto) : 8Hours",
Story_u29a.xml,13,"Power Supply:AC100V-240V/50-60Hz",
Story_u29a.xml,14,"Power Consumption:120W",
Story_u29a.xml,15,"Light source:6pcs 20W RGBCLA 6 in One Ultra Bright LEDs",
Story_u29a.xml,16,"LED life:5-6 million hours",
Story_u29a.xml,17,"Beam Angle : 20degree",
Story_u29a.xml,18,"Protection: IP65",
Story_u29a.xml,19,"Dimension: L381×W108×H186.5 mm",
Story_u29a.xml,20,"Net Weight: 3.4kg",
Story_u29a.xml,21,Installation{__TRAILSPACES__1__},
Story_u29a.xml,22,"The unit should be mounted via its screw holes on the bracket. Always ensure that the unit is firmly fixed to avoid vibration and slipping while operating. Always ensure that the structure to which you are attaching the unit is secure and is able to support a weight of 10 times of the unit’s weight. Also always use a safety cable that can hold 12 times of the weight of the unit when installing the fixture.",
Story_u29a.xml,23,"The equipment must be fixed by professionals. And it must be fixed at a place where is out of the touch of people and has no one pass by or under it.",
